"MSOA11CD","MSOA11NM","Year","MSOA_crime","MSOA_percent_green","PTAL"
"E02000280","Enfield 004",2007,55.8050214045106,0.131176235610798,1
"E02000280","Enfield 004",2009,55.8050214045106,0.131176235610798,1
"E02000280","Enfield 004",2011,55.8050214045106,0.131176235610798,1
"E02000280","Enfield 004",2013,53.3648213652918,0.131176235610798,1
"E02000280","Enfield 004",2015,54.7075507269736,0.131176235610798,1
"E02000280","Enfield 004",2017,59.9397359887301,0.131176235610798,1
"E02000280","Enfield 004",2019,59.9397359887301,0.131176235610798,1
"E02000280","Enfield 004",2021,59.9397359887301,0.131176235610798,1
"E02000281","Enfield 005",2001,57.9022153973989,0.13610593559852,2
"E02000281","Enfield 005",2003,57.9022153973989,0.13610593559852,2
"E02000281","Enfield 005",2005,57.9022153973989,0.13610593559852,2
"E02000281","Enfield 005",2007,57.9022153973989,0.13610593559852,2
"E02000281","Enfield 005",2009,57.9022153973989,0.13610593559852,2
"E02000281","Enfield 005",2011,57.9022153973989,0.13610593559852,2
"E02000281","Enfield 005",2013,55.3703108352734,0.13610593559852,2
"E02000281","Enfield 005",2015,56.7635009598135,0.13610593559852,2
"E02000281","Enfield 005",2017,62.192315614848,0.13610593559852,2
"E02000281","Enfield 005",2019,62.192315614848,0.13610593559852,2
"E02000281","Enfield 005",2021,62.192315614848,0.13610593559852,2
"E02000282","Enfield 006",2001,59.7372601411761,0.140419423087777,6
"E02000282","Enfield 006",2003,59.7372601411761,0.140419423087777,6
"E02000282","Enfield 006",2005,59.7372601411761,0.140419423087777,6
"E02000282","Enfield 006",2007,59.7372601411761,0.140419423087777,6
"E02000282","Enfield 006",2009,59.7372601411761,0.140419423087777,6
"E02000282","Enfield 006",2011,59.7372601411761,0.140419423087777,6
"E02000282","Enfield 006",2013,57.1251141215073,0.140419423087777,6
"E02000282","Enfield 006",2015,58.5624574135484,0.140419423087777,6
"E02000282","Enfield 006",2017,64.1633227877011,0.140419423087777,6
"E02000282","Enfield 006",2019,64.1633227877011,0.140419423087777,6
"E02000282","Enfield 006",2021,64.1633227877011,0.140419423087777,6
"E02000283","Enfield 007",2001,55.208631862783,0.12977435217679,5
"E02000283","Enfield 007",2003,55.208631862783,0.12977435217679,5
"E02000283","Enfield 007",2005,55.208631862783,0.12977435217679,5
"E02000283","Enfield 007",2007,55.208631862783,0.12977435217679,5
"E02000283","Enfield 007",2009,55.208631862783,0.12977435217679,5
"E02000283","Enfield 007",2011,55.208631862783,0.12977435217679,5
"E02000283","Enfield 007",2013,52.7945102972658,0.12977435217679,5
"E02000283","Enfield 007",2015,54.1228898795098,0.12977435217679,5
"E02000283","Enfield 007",2017,59.2991586575529,0.12977435217679,5
"E02000283","Enfield 007",2019,59.2991586575529,0.12977435217679,5
"E02000283","Enfield 007",2021,59.2991586575529,0.12977435217679,5
"E02000284","Enfield 008",2001,53.7405960677613,0.126323562185384,11
"E02000284","Enfield 008",2003,53.7405960677613,0.126323562185384,11
"E02000284","Enfield 008",2005,53.7405960677613,0.126323562185384,11
"E02000284","Enfield 008",2007,53.7405960677613,0.126323562185384,11
"E02000284","Enfield 008",2009,53.7405960677613,0.126323562185384,11
"E02000284","Enfield 008",2011,53.7405960677613,0.126323562185384,11
"E02000284","Enfield 008",2013,51.3906676682787,0.126323562185384,11
"E02000284","Enfield 008",2015,52.6837247165219,0.126323562185384,11
"E02000284","Enfield 008",2017,57.7223529192703,0.126323562185384,10.6666666666667
"E02000284","Enfield 008",2019,57.7223529192703,0.126323562185384,10.3333333333333
"E02000284","Enfield 008",2021,57.7223529192703,0.126323562185384,10
"E02000285","Enfield 009",2001,43.2349649096367,0.101628846309388,6
"E02000285","Enfield 009",2003,43.2349649096367,0.101628846309388,6
"E02000285","Enfield 009",2005,43.2349649096367,0.101628846309388,6
"E02000285","Enfield 009",2007,43.2349649096367,0.101628846309388,6
"E02000285","Enfield 009",2009,43.2349649096367,0.101628846309388,6
"E02000285","Enfield 009",2011,43.2349649096367,0.101628846309388,6
"E02000285","Enfield 009",2013,41.3444188545896,0.101628846309388,6
"E02000285","Enfield 009",2015,42.3846990188896,0.101628846309388,6
"E02000285","Enfield 009",2017,46.4383368546861,0.101628846309388,6
"E02000285","Enfield 009",2019,46.4383368546861,0.101628846309388,6
"E02000285","Enfield 009",2021,46.4383368546861,0.101628846309388,6
"E02000286","Enfield 010",2001,53.4653393561947,0.125676539061995,7
"E02000286","Enfield 010",2003,53.4653393561947,0.125676539061995,7
"E02000286","Enfield 010",2005,53.4653393561947,0.125676539061995,7
"E02000286","Enfield 010",2007,53.4653393561947,0.125676539061995,7
"E02000286","Enfield 010",2009,53.4653393561947,0.125676539061995,7
"E02000286","Enfield 010",2011,53.4653393561947,0.125676539061995,7
"E02000286","Enfield 010",2013,51.1274471753436,0.125676539061995,7
"E02000286","Enfield 010",2015,52.4138812484616,0.125676539061995,7
"E02000286","Enfield 010",2017,57.4267018433424,0.125676539061995,7
"E02000286","Enfield 010",2019,57.4267018433424,0.125676539061995,7
"E02000286","Enfield 010",2021,57.4267018433424,0.125676539061995,7
"E02000287","Enfield 011",2001,44.716108167114,0.105110446925716,2
"E02000287","Enfield 011",2003,44.716108167114,0.105110446925716,2
"E02000287","Enfield 011",2005,44.716108167114,0.105110446925716,2
"E02000287","Enfield 011",2007,44.716108167114,0.105110446925716,2
"E02000287","Enfield 011",2009,44.716108167114,0.105110446925716,2
"E02000287","Enfield 011",2011,44.716108167114,0.105110446925716,2
"E02000287","Enfield 011",2013,42.7607957927641,0.105110446925716,2
"E02000287","Enfield 011",2015,43.8367138708328,0.105110446925716,2
"E02000287","Enfield 011",2017,48.0292212156319,0.105110446925716,2
"E02000287","Enfield 011",2019,48.0292212156319,0.105110446925716,2
"E02000287","Enfield 011",2021,48.0292212156319,0.105110446925716,2
"E02000288","Enfield 012",2001,68.7486405793678,0.161601727722522,9
"E02000288","Enfield 012",2003,68.7486405793678,0.161601727722522,9
"E02000288","Enfield 012",2005,68.7486405793678,0.161601727722522,9
"E02000288","Enfield 012",2007,68.7486405793678,0.161601727722522,9
"E02000288","Enfield 012",2009,68.7486405793678,0.161601727722522,9
"E02000288","Enfield 012",2011,68.7486405793678,0.161601727722522,9
"E02000288","Enfield 012",2013,65.7424516878345,0.161601727722522,9
"E02000288","Enfield 012",2015,67.3966185702823,0.161601727722522,9
"E02000288","Enfield 012",2017,73.8423758686763,0.161601727722522,9
"E02000288","Enfield 012",2019,73.8423758686763,0.161601727722522,9
"E02000288","Enfield 012",2021,73.8423758686763,0.161601727722522,9
"E02000289","Enfield 013",2001,43.051460435259,0.101197497560462,3
"E02000289","Enfield 013",2003,43.051460435259,0.101197497560462,3
"E02000289","Enfield 013",2005,43.051460435259,0.101197497560462,3
"E02000289","Enfield 013",2007,43.051460435259,0.101197497560462,3
"E02000289","Enfield 013",2009,43.051460435259,0.101197497560462,3
"E02000289","Enfield 013",2011,43.051460435259,0.101197497560462,3
"E02000289","Enfield 013",2013,41.1689385259662,0.101197497560462,3
"E02000289","Enfield 013",2015,42.2048033735161,0.101197497560462,3
